objectid,parentid,title,description,coverage,isPartOf,creator,publisher,source,date,type,format,extent,language,relation,rights,license,display_template,object_location,image_small,image_thumb,image_alt_text
m40946_1,abb40946,Besitz des Kaufmanns Ulrich Meltinger im Umland von Basel,"Nur selten sind die ländlichen Besitzungen einzelner Städter gesamthaft zu erfassen. Ein vom Basler Kaufmann Ulrich Meltinger überliefertes Handelsbuch aus dem späten 15. Jahrhundert erlaubt wenigstens ausschnitthaft zu bestimmen, an welchen Orten der Kaufmann im Zeitraum 1470–1493 ländlichen Boden oder ländliche Einkünfte besaß und wo er Halbviehverträge einging. Wie sich in Einzelfällen nachvollziehen lässt (rote Linie), wechselten Kühe oder Kälber dabei immer wieder den Ort (Rippmann 1990, S. 192–210).",Mittelalter,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/),"NASA, SRTM, 2013&#59 Rippmann, Dorothee: Bauern und Städter. Stadt-Land-Beziehungen im 15. Jahrhundert. Das Beispiel Basel, unter besonderer Berücksichtigung der Nahmarktbeziehungen und der sozialen Verhältnisse im Umland, Basel 1990., S. 192–210. Bearbeitung: Nico Görlich / Moritz Twente",1470/1493,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,120 × 72 mm,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/46b79f9fdea66d5802bd8c6fd960afb999b5c07b.pdf,objects/46b79f9fdea66d5802bd8c6fd960afb999b5c07b.jpg,objects/46b79f9fdea66d5802bd8c6fd960afb999b5c07b.jpg,
m40946_2,abb40946,Legende zur Karte 'Besitz des Kaufmanns Ulrich Meltinger im Umland von Basel',"Nur selten sind die ländlichen Besitzungen einzelner Städter gesamthaft zu erfassen. Ein vom Basler Kaufmann Ulrich Meltinger überliefertes Handelsbuch aus dem späten 15. Jahrhundert erlaubt wenigstens ausschnitthaft zu bestimmen, an welchen Orten der Kaufmann im Zeitraum 1470–1493 ländlichen Boden oder ländliche Einkünfte besaß und wo er Halbviehverträge einging. Wie sich in Einzelfällen nachvollziehen lässt (rote Linie), wechselten Kühe oder Kälber dabei immer wieder den Ort (Rippmann 1990, S. 192–210).",Mittelalter,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/),"NASA, SRTM, 2013&#59 Rippmann, Dorothee: Bauern und Städter. Stadt-Land-Beziehungen im 15. Jahrhundert. Das Beispiel Basel, unter besonderer Berücksichtigung der Nahmarktbeziehungen und der sozialen Verhältnisse im Umland, Basel 1990., S. 192–210. Bearbeitung: Nico Görlich / Moritz Twente",1470/1493,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,47 × 19 mm,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/12237952805490aa2859fba8d0dc987eb8d79c06.pdf,objects/12237952805490aa2859fba8d0dc987eb8d79c06.jpg,objects/12237952805490aa2859fba8d0dc987eb8d79c06.jpg,
m40946_3,abb40946,Geodaten: Besitz des Kaufmanns Ulrich Meltinger im Umland von Basel,Geodaten: Besitz des Kaufmanns Ulrich Meltinger im Umland von Basel;  Koordinatensystem: EPSG:4326 - WGS 84,Mittelalter,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/),"Rippmann, Dorothee: Bauern und Städter. Stadt-Land-Beziehungen im 15. Jahrhundert. Das Beispiel Basel, unter besonderer Berücksichtigung der Nahmarktbeziehungen und der sozialen Verhältnisse im Umland, Basel 1990., S. 192–210. Bearbeitung: Nico Görlich / Moritz Twente",1470/1493,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by/4.0/,geodata,https://omeka.unibe.ch/files/original/2ffcf5c5dd09285f2ec6f68d7077f5ceffe4f1b5.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
abb41033,,Plan der Parzellen an der Weissen Gasse,"Plan und Isometrie zeigen die Bauphasen vom 12. bis 15. Jahrhundert, soweit sie archäologisch-bauhistorisch zu greifen sind. Reine Holzbauten, die die Steinbauten ergänzten, fehlen. Die älteste Mauer (rot/A) gehörte zum Steinbau der Nachbarparzelle. An diese lehnt sich ein jüngerer Steinbau an (gelb, B). Zuerst erweiterten die Nachbarn ihre Häuser (D). Danach schlossen sich die Fassaden an der Gasse zu einer Flucht (blau/E), wobei gleichzeitig (Isometrie: blau) und dann nochmals (grau) aufgestockt wurde. Zu Garten und Birsig führte ein Durchgang (C). Richtung Birsig schützten besonders starke Fundamente vor häufigem Hochwasser (Matt 1989).",21. Jahrhundert,"Burkart, Lucas (Hg.): Stadt in Verhandlung. 1250 – 1530. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,assets/img/placeholder.svg,assets/img/placeholder.svg,
m41033,abb41033,Plan der Parzellen an der Weissen Gasse,"Plan und Isometrie zeigen die Bauphasen vom 12. bis 15. Jahrhundert, soweit sie archäologisch-bauhistorisch zu greifen sind. Reine Holzbauten, die die Steinbauten ergänzten, fehlen. Die älteste Mauer (rot/A) gehörte zum Steinbau der Nachbarparzelle. An diese lehnt sich ein jüngerer Steinbau an (gelb, B). Zuerst erweiterten die Nachbarn ihre Häuser (D). Danach schlossen sich die Fassaden an der Gasse zu einer Flucht (blau/E), wobei gleichzeitig (Isometrie: blau) und dann nochmals (grau) aufgestockt wurde. Zu Garten und Birsig führte ein Durchgang (C). Richtung Birsig schützten besonders starke Fundamente vor häufigem Hochwasser (Matt 1989).",21. Jahrhundert,,Stephan Jon Tramèr,,,2023,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,856 × 875,de,,"In Copyright, Stephan Jon Tramèr 2023",http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/4a9c0e9409f5aa97f7b05ff5d6633a234b5b09ef.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
abb41052,,Rekonstruktionszeichnung Weisse Gasse,"Detail. Plan und Isometrie zeigen die Bauphasen vom 12. bis 15. Jahrhundert, soweit sie archäologisch-bauhistorisch zu greifen sind. Reine Holzbauten, die die Steinbauten ergänzten, fehlen. Die älteste Mauer (rot/A) gehörte zum Steinbau der Nachbarparzelle. An diese lehnt sich ein jüngerer Steinbau an (gelb, B). Zuerst erweiterten die Nachbarn ihre Häuser (D). Danach schlossen sich die Fassaden an der Gasse zu einer Flucht (blau/E), wobei gleichzeitig (Isometrie: blau) und dann nochmals (grau) aufgestockt wurde. Zu Garten und Birsig führte ein Durchgang (C). Richtung Birsig schützten besonders starke Fundamente vor häufigem Hochwasser (Matt 1989).",20. Jahrhundert,"Burkart, Lucas (Hg.): Stadt in Verhandlung. 1250 – 1530. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,assets/img/placeholder.svg,assets/img/placeholder.svg,
m41052,abb41052,Rekonstruktionszeichnung Weisse Gasse,"Detail. Plan und Isometrie zeigen die Bauphasen vom 12. bis 15. Jahrhundert, soweit sie archäologisch-bauhistorisch zu greifen sind. Reine Holzbauten, die die Steinbauten ergänzten, fehlen. Die älteste Mauer (rot/A) gehörte zum Steinbau der Nachbarparzelle. An diese lehnt sich ein jüngerer Steinbau an (gelb, B). Zuerst erweiterten die Nachbarn ihre Häuser (D). Danach schlossen sich die Fassaden an der Gasse zu einer Flucht (blau/E), wobei gleichzeitig (Isometrie: blau) und dann nochmals (grau) aufgestockt wurde. Zu Garten und Birsig führte ein Durchgang (C). Richtung Birsig schützten besonders starke Fundamente vor häufigem Hochwasser (Matt 1989).",20. Jahrhundert,,"In Copyright, Stephan Jon Tramèr 2023",,,,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,856 × 875,de,,"In Copyright, Stephan Jon Tramèr 2023",http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/fdf8b611628d1e30452a84c61a48bc6fb7cbdbb1.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
abb33652,,"Dom von Aquileia (I), Malerei in der Krypta",Die Sockelzone der Krypta des Doms im italienischen Aquileia zeigt Reiterbilder hinter einem vorgetäuschten Vorhang. Die beiden Reiter dokumentieren den Gegensatz zwischen dem beweglichen Reiterkrieger samt Reflexbogen und dem gepanzerten Reiter mit Lanze. Die Schlacht auf dem Lechfeld bei Augsburg im Jahre 955 gewannen die christlichen Panzerreiter unter Kaiser Otto I. und beendeten damit das Vordringen der ungarischen Reiterschwärme.,Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/aa89ed1041cdd137508b91dc0b17d59d92348e3e.jpg,objects/aa89ed1041cdd137508b91dc0b17d59d92348e3e.jpg,
m33652,abb33652,"Dom von Aquileia (I), Malerei in der Krypta",Die Sockelzone der Krypta des Doms im italienischen Aquileia zeigt Reiterbilder hinter  einem vorgetäuschten Vorhang. Die beiden Reiter dokumentieren den Gegensatz zwischen dem beweglichen Reiterkrieger samt Reflexbogen und dem gepanzerten Reiter mit Lanze. Die Schlacht auf dem Lechfeld bei Augsburg im Jahre 955 gewannen die christlichen Panzerreiter unter Kaiser Otto I. und beendeten damit das Vordringen der ungarischen Reiterschwärme.,Mittelalter,,,,"[Basilica Patriarcale (Aquileia), Wikimedia Commons](https://en.m.wikipedia.org/wiki/File:Cripta_della_basilica_di_aquileia,_affreschi_del_1150-1190_circa,_arciere_e_cavaliere_01.jpg)",11x,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,2560 x 1987,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/aa89ed1041cdd137508b91dc0b17d59d92348e3e.jpg,objects/aa89ed1041cdd137508b91dc0b17d59d92348e3e.jpg,objects/aa89ed1041cdd137508b91dc0b17d59d92348e3e.jpg,
abb41183,,"Getreidepreise in Basel, Strassburg, Nürnberg und Köln, 1443–1500","Zu den Jahren 1481/82 hielt der in Basel tätige Jurist Johannes Ursi fest, alles – ausser Fisch – sei teuer geworden. Viele seien an Hunger gestorben (BChr, Bd. 7, S. 179). Grund waren Missernten in den Jahren 1478 bis 1482. Ursis Angaben konnten in einer Untersuchung zu den Preisen für Korn in verschiedenen Städten bestätigt werden. Die in der Grafik ersichtlichen Durchschnittspreise korrelierten in Basel und Strassburg besonders eng. Dabei spielten verschiedene Ursachen zusammen: ähnliche Ertragsgebiete, intensiver Handel und rascher Austausch von Preisnachrichten (Holzwart-Schäfer 2000).",Mittelalter,"Burkart, Lucas (Hg.): Stadt in Verhandlung. 1250 – 1530. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,,,
abb41242,,"Kopfsteuerzahler:innen und Gesamtbevölkerung, 1444–1500",Erst für das 15. Jahrhundert lassen sich Basler Bevölkerungszahlen mit einiger Sicherheit rekonstruieren. Die Grundlage dafür bilden die Steuerlisten für die verschiedenen Pfarrbezirke. Der Anteil von Kindern und Jugendlichen (bis 14 oder 15 Jahre) wird dabei geschätzt (30 oder 34 Prozent). Die ungewöhnlich hohen Zahlen für 1446 erklären sich wohl mit den noch in der Stadt verbliebenen Konzilsgästen und mit einer damals hohen Zahl an Kriegsflüchtlingen vom Land. Die Zahlen für die von der Steuer befreiten Geistlichen (inklusive Universitätsangehörigen) sind geschätzt (Darstellung nach Ammann 1950).,Mittelalter,"Burkart, Lucas (Hg.): Stadt in Verhandlung. 1250 – 1530. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,,,
abb41250,,Schäden nach dem Erdbeben von 1356,"Neben Basel traf das Erdbeben auch andere Städte und vor allem Burgen, die mit ihren hoch aufragenden Türmen besonders gefährdet waren. Die Karte (nach Meyer 2006) beruht auf chronikalischen Berichten und archäologischen Befunden. Sie zeigt auch, wie viele Burgen die Region damals prägten.",Mittelalter,"Burkart, Lucas (Hg.): Stadt in Verhandlung. 1250 – 1530. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/ed39cb5c35ee605438e44bf90f659bf8b9db0edf.jpg,objects/ed39cb5c35ee605438e44bf90f659bf8b9db0edf.jpg,
m41250_1,abb41250,Schäden nach dem Erdbeben von 1356,"Neben Basel traf das Erdbeben auch andere Städte und vor allem Burgen, die mit ihren hoch aufragenden Türmen besonders gefährdet waren. Die Karte (nach Meyer 2006) beruht auf chronikalischen Berichten und archäologischen Befunden. Sie zeigt auch, wie viele Burgen die Region damals prägten.",Mittelalter,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/),"NASA, SRTM, 2013&#59 Meyer, Werner: Da verfiele Basel überall. Das Basler Erdbeben von 1356. Mit einem geologischen Beitrag von Hans Peter Laubscher, Neujahrsblatt der GGG 184, Basel 2006, S. 67. Bearbeitung: Nico Görlich / Moritz Twente",1356,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,110 × 85 mm,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/ed39cb5c35ee605438e44bf90f659bf8b9db0edf.pdf,objects/ed39cb5c35ee605438e44bf90f659bf8b9db0edf.jpg,objects/ed39cb5c35ee605438e44bf90f659bf8b9db0edf.jpg,
m41250_2,abb41250,Legende zur Karte 'Schäden nach dem Erdbeben von 1356',"Neben Basel traf das Erdbeben auch andere Städte und vor allem Burgen, die mit ihren hoch aufragenden Türmen besonders gefährdet waren. Die Karte (nach Meyer 2006) beruht auf chronikalischen Berichten und archäologischen Befunden. Sie zeigt auch, wie viele Burgen die Region damals prägten.",Mittelalter,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/),"NASA, SRTM, 2013&#59 Meyer, Werner: Da verfiele Basel überall. Das Basler Erdbeben von 1356. Mit einem geologischen Beitrag von Hans Peter Laubscher, Neujahrsblatt der GGG 184, Basel 2006, S. 67. Bearbeitung: Nico Görlich / Moritz Twente",1356,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,38 × 35 mm,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/ce2f0c401569c498f0c0da1732db1485cdcdc712.pdf,objects/ce2f0c401569c498f0c0da1732db1485cdcdc712.jpg,objects/ce2f0c401569c498f0c0da1732db1485cdcdc712.jpg,
m41250_3,abb41250,Geodaten: Schäden nach dem Erdbeben von 1356,"Neben Basel traf das Erdbeben auch andere Städte und vor allem Burgen, die mit ihren hoch aufragenden Türmen besonders gefährdet waren. Die Karte (nach Meyer 2006) beruht auf chronikalischen Berichten und archäologischen Befunden. Sie zeigt auch, wie viele Burgen die Region damals prägten.
Koordinatensystem: EPSG:4326 - WGS 84",Mittelalter,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://stadtgeschichtebasel.ch/),"Meyer, Werner: Da verfiele Basel überall. Das Basler Erdbeben von 1356. Mit einem geologischen Beitrag von Hans Peter Laubscher, Neujahrsblatt der GGG 184, Basel 2006, S. 67. Bearbeitung: Nico Görlich / Moritz Twente",1356,[Dataset](http://purl.org/dc/dcmitype/Dataset),application/geo+json,,de,,CC-BY-SA 4.0,https://creativecommons.org/licenses/by/4.0/,geodata,https://omeka.unibe.ch/files/original/86c2bef1b814d27f0f7b30f983585b778e4a4c12.geojson,assets/lib/icons/sgb-globe.svg,assets/lib/icons/sgb-globe.svg,
abb37587,,"Siedlung am Petersberg, um 1000 n. Chr.","Ab dem 9./10. Jahrhundert entwickelte sich zwischen Petersberg und Birsig eine vorerst noch locker bebaute Siedlung aus Holzbauten, die zum Wohnen und Arbeiten dienten. Die Lage der Handwerksbetriebe in unmittelbarer Nähe zum Birsig und zu den Wasserquellen im Hangbereich war bewusst gewählt. Wasser war ein wichtiger Rohstoff für die Herstellung von Leder.",Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,,,
abb33689,,Einzelfunde in der Talstadt,Einzelfunde aus der Zeit vor 1000 im Altstadtbereich ausserhalb des Münsterhügels. Die obere Talstadt ist vor 1000 noch nicht besiedelt.,Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,,,
abb34099,,Wandbild in der Krypta des Basler Münsters,"Das Bild entstand kurz nach 1202 und zeigt wahrscheinlich Bischof Adalbero II., der 1019 das frühromanische Münster weihte.",Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/ecbbed2696be38047ddab37f38acc0a698c10308.jpg,objects/ecbbed2696be38047ddab37f38acc0a698c10308.jpg,
m34099,abb34099,Wandbild in der Krypta des Basler Münsters,"Das Bild entstand kurz nach 1202 und zeigt wahrscheinlich Bischof Adalbero II., der 1019 das frühromanische Münster weihte.",Mittelalter,,,[Kantonale Dekmalpflege Basel-Stadt](https://www.bs.ch/bvd/staedtebau-architektur/denkmalpflege);[Münsterbauhütte Basel](https://www.baslermuenster.ch/bauwerk/muensterbauhuette),,,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,5467 x 8200,de,,"In Copyright, Peter Schulthess",http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/ecbbed2696be38047ddab37f38acc0a698c10308.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
abb34100,,Rekonstruktion des frühromanischen Münsters,"Die frühromanische Kathedrale hat das ältere, vielleicht mehrteilige Kirchenensemble in einem Bau vereinigt und diesen sowohl nach Osten wie auch nach Westen verlängert.",Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/10c9aaf7314a939024869931a4f347ef76dbbc37.jpg,objects/10c9aaf7314a939024869931a4f347ef76dbbc37.jpg,
m34100,abb34100,Rekonstruktion des frühromanischen Münsters,"Die frühromanische Kathedrale hat das ältere, vielleicht mehrteilige Kirchenensemble in einem Bau vereinigt und diesen sowohl nach Osten wie auch nach Westen verlängert.",Mittelalter,,[Marco Bernasconi](https://www.archaeolab.ch/),[archaeolob.ch](https://www.archaeolab.ch/),,,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,4960 x 3507,de,,"In Copyright, Marco Bernasconi",http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/10c9aaf7314a939024869931a4f347ef76dbbc37.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
abb34144,,Rekonstruktion der frühromanischen Vierungskrypta,"Vom Hauptschiff und von den Seitenschiffen führten Treppen in die westliche Krypta unter der heutigen Vierung. Die erhalten gebliebenen Mauern und Fundamente ermöglichen die Rekonstruktion eines in fünf Schiffe gegliederten, überwölbten Raumes.",Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/799d5e1700099b209dbd7d69c279575756150614.jpg,objects/799d5e1700099b209dbd7d69c279575756150614.jpg,
m34144,abb34144,Rekonstruktion der frühromanischen Vierungskrypta,"Vom Hauptschiff und von den Seitenschiffen führten Treppen in die westliche Krypta unter der heutigen Vierung. Die erhalten gebliebenen Mauern und Fundamente ermöglichen die Rekonstruktion eines in fünf Schiffe gegliederten, überwölbten Raumes.",Mittelalter,,[Marco Bernasconi](https://www.archaeolab.ch/),[archaeolab.ch](https://www.archaeolab.ch/),,,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,4960 x 3507,de,,"In Copyright, Marco Bernasconi",http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/799d5e1700099b209dbd7d69c279575756150614.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
abb36197,,"Regensburger Sakramentar, Anfang 11. Jahrhundert, Krönungsbild Heinrichs II., fol. 11r.","Zwei Bischöfe stützen den Kaiser, dem Christus die Krone aufsetzt. Der Kopf des Kaisers reicht bis in den heiligen Bereich, in dem Christus sitzt. Damit wird die Beteiligung des Reichsoberhaupts an der göttlichen Macht symbolisiert. In der linken Hand hält Heinrich II. das Reichsschwert, in der rechten die Heilige Lanze. Angeblich fügte der Hauptmann Longinus mit dieser Waffe dem sterbenden Christus die Seitenwunde zu; ihr Besitz sollte Siege in Schlachten ermöglichen.",Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/cd86a0cf7a954f59ad0e1ede674aa9d557397f94.jpg,objects/cd86a0cf7a954f59ad0e1ede674aa9d557397f94.jpg,
m36197,abb36197,"Regensburger Sakramentar, Anfang 11. Jahrhundert, Krönungsbild Heinrichs II., fol. 11r.","Zwei Bischöfe stützen den Kaiser, dem Christus die Krone aufsetzt. Der Kopf des Kaisers reicht bis in den heiligen Bereich, in dem Christus sitzt. Damit wird die Beteiligung des Reichsoberhaupts an der göttlichen Macht symbolisiert. In der linken Hand hält Heinrich II. das Reichsschwert, in der rechten die Heilige Lanze. Angeblich fügte der Hauptmann Longinus mit dieser Waffe dem sterbenden Christus die Seitenwunde zu; ihr Besitz sollte Siege in Schlachten ermöglichen.",Mittelalter,,,[Bayerische Staatsbibliothek München](https://www.bsb-muenchen.de/),"[Clm4456, fol. 24r](https://www.digitale-sammlungen.de/de/view/bsb00050763?page=,1)",11x,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,‪6974 x 8576‬,de,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/cd86a0cf7a954f59ad0e1ede674aa9d557397f94.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
abb37088,,Rekonstruktionsvorschlag zur Benutzung des Mörtelmischers,Die Rekonstruktion verdeutlicht das eindrückliche Ausmass der an der Martinsgasse 6 + 8 gefundenen Anlage.,Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/7ae74a0ff712be8958dbbd99fc18b7734b40a7f5.jpg,objects/7ae74a0ff712be8958dbbd99fc18b7734b40a7f5.jpg,
m37088,abb37088,Rekonstruktionsvorschlag zur Benutzung des Mörtelmischers,Die Rekonstruktion verdeutlicht das eindrückliche Ausmass der an der Martinsgasse 6 + 8 gefundenen Anlage.,Mittelalter,,,[Archäologische Bodenforschung Basel-Stadt](https://www.bs.ch/pd/kultur/museen-und-andere-dienststellen/archaeologie),"ABBS, T17984",,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,529 x 480‬,de,,"CC-BY-SA 4.0, Heidi Colombi",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/7ae74a0ff712be8958dbbd99fc18b7734b40a7f5.jpg,objects/7ae74a0ff712be8958dbbd99fc18b7734b40a7f5.jpg,objects/7ae74a0ff712be8958dbbd99fc18b7734b40a7f5.jpg,
abb34192,,"Heinrichskreuz, 1. Viertel 11. Jahrhundert","Ob Heinrich II. dieses Kreuz tatsächlich bei der Einweihung des Münsters schenkte, ist umstritten. Es wurde später verändert sowie ergänzt. Es enthält als Reliquien einige Blutstropfen Christi und Späne des Kreuzholzes. In der Mitte prangt eine antik Phalera aus Chalzedon, ursprünglich ein römisches Ehrenabzeichen. Gemäss späteren Quellen stand das Kreuz bei Kirchenfesten auf dem Hochaltar und durfte jeweils am Montag und Freitag angebetet werden. Alljährlich leistete der Rat bei seiner Einsetzung darauf den Amtseid. Die Kantonsteilung führte 1836 zur Versteigerung des Münsterschatzes und zum Verkauf des Heinrichskreuzes. Es befindet sich heute im Kunstgewerbemuseum zu Berlin.",Mittelalter,"Sieber-Lehmann, Claudius/Schwarz, Peter-Andrew (Hg.): Eine Bischofsstadt zwischen Oberrhein und Jura. 800 – 1273. Basel 2024 (Stadt.Geschichte.Basel).",,,,,,,,de,,,,compound_object,,objects/96e01f4b4ae5f5d8d52ec42c6d26891607dd10b3.jpg,objects/96e01f4b4ae5f5d8d52ec42c6d26891607dd10b3.jpg,
m34192,abb34192,"Heinrichskreuz, 1. Viertel 11. Jahrhundert","Ob Heinrich II. dieses Kreuz tatsächlich bei der Einweihung des Münsters schenkte, ist umstritten. Es wurde später verändert sowie ergänzt. Es enthält als Reliquien einige Blutstropfen Christi und Späne des Kreuzholzes. In der Mitte prangt eine antik Phalera aus Chalzedon, ursprünglich ein römisches Ehrenabzeichen. Gemäss späteren Quellen stand das Kreuz bei Kirchenfesten auf dem Hochaltar und durfte jeweils am Montag und Freitag angebetet werden. Alljährlich leistete der Rat bei seiner Einsetzung darauf den Amtseid. Die Kantonsteilung führte 1836 zur Versteigerung des Münsterschatzes und zum Verkauf des Heinrichskreuzes. Es befindet sich heute im Kunstgewerbemuseum zu Berlin.",Mittelalter,,,"[Berlin, Kunstgewerbemuseum](https://www.smb.museum/museen-einrichtungen/kunstgewerbemuseum/home/)","[Ident. Nr.: 1917,79](https://smb.museum-digital.de/object/82187?navlang=de)",1000/1025,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,‪2602 x 2834‬,de,,"In Copyright, Jürgen Bartsch",http://rightsstatements.org/vocab/InC/1.0/,image,https://omeka.unibe.ch/files/original/96e01f4b4ae5f5d8d52ec42c6d26891607dd10b3.png,assets/img/placeholder.svg,assets/img/placeholder.svg,
